CLIENTS,CERTIFICATIONS,WEBSITE
19th & Park,MBE/WBENC/WOSB,"<a href=""https://www.19parkinc.com"" target=""_blank"" rel=""noopener"">www.19parkinc.com</a>"
"2nd ACT Consulting, LLC",MBE/WBENC/WOSB/DBE/SAM,"<a href=""http://www.2ndactconsulting.com/"" target=""_blank"" rel=""noopener"">http://www.2ndactconsulting.com/</a>"
360 Solutions LLC,WBENC,"<a href=""https://www.threesixtyglobal.com"" target=""_blank"" rel=""noopener"">www.threesixtyglobal.com</a>"
3Steps4ward,MBE/SBE,"<a href=""https://3steps4ward.com/"" target=""_blank"" rel=""noopener"">https://3steps4ward.com/</a>"
A&M NorCal LLC,DBE,"<a href=""https://www.amnorcal.com/"" target=""_blank"" rel=""noopener"">https://www.amnorcal.com/</a>"
A.E Kieren Illustration,NGLCC,"<a href=""https://www.aekieren.com"" target=""_blank"" rel=""noopener"">www.aekieren.com</a>"
Abigail Stason LLC,WBENC/NGLCC,"<a href=""https://www.abigailstason.com"" target=""_blank"" rel=""noopener"">www.abigailstason.com</a>"
Abotts Consulting Inc.,MBE/SBE/WBENC,"<a href=""https://www.abotts.com"" target=""_blank"" rel=""noopener"">www.abotts.com</a>"
Acoustic Innovations,MBE,"<a href=""https://acousticinnovations.net"" target=""_blank"" rel=""noopener"">acousticinnovations.net</a>"
Across The Pond,WBENC,"<a href=""https://www.atp.tv"" target=""_blank"" rel=""noopener"">www.atp.tv</a>"
Adaptive Business Solutions,NVBDC,"<a href=""https://www.abstb.com"" target=""_blank"" rel=""noopener"">www.abstb.com</a>"
Agile Point,MBE/SBE/CPUC,"<a href=""https://www.agilepoint.com/"" target=""_blank"" rel=""noopener"">https://www.agilepoint.com/</a>"
Air Sea Worldwide,MSDC,"<a href=""https://www.airseaworldwide.com/index.php/en/"" target=""_blank"" rel=""noopener"">https://www.airseaworldwide.com/index.php/en/</a>"
Alison Service Company,MBE,"<a href=""https://www.alisonserviceco.com/"" target=""_blank"" rel=""noopener"">https://www.alisonserviceco.com/</a>"
Alliance Information Technology and Computer Software Solutions Inc (Alliance IT),MBE/SBE,"<a href=""https://www.allianceit.com"" target=""_blank"" rel=""noopener"">www.allianceit.com</a>"
"Allied Janitorial Services and Supplies, Inc",MBE/SBE/CPUC,"<a href=""https://www.alliedjanitorialservices.com"" target=""_blank"" rel=""noopener"">www.alliedjanitorialservices.com</a>"
Ameriinfo,MBE/SBE,"<a href=""https://www.ameriinfo.com"" target=""_blank"" rel=""noopener"">www.ameriinfo.com</a>"
Aplos America Inc.,MBE/State Cert,"<a href=""http://www.aplosamerica.com/"" target=""_blank"" rel=""noopener"">http://www.aplosamerica.com/</a>"
Apptivo,MBE/CPUC,"<a href=""https://www.profit.co"" target=""_blank"" rel=""noopener"">www.profit.co</a>"
Avadi Leadership,MBE/WBENC,"<a href=""https://www.avadileaders.com"" target=""_blank"" rel=""noopener"">www.avadileaders.com</a>"
"Avital Tours, Inc",WBENC,"<a href=""https://www.avitaltours.com"" target=""_blank"" rel=""noopener"">www.avitaltours.com</a>"
AZTL (Ashley’s Zen Therapy Lounge),MBE/WBE,"<a href=""https://aztl222.com/"" target=""_blank"" rel=""noopener"">https://aztl222.com/</a>"
Bach Enterprise,MBE,"<a href=""https://www.bachusa.com"" target=""_blank"" rel=""noopener"">www.bachusa.com</a>"
Bar None Games,NGLCC,"<a href=""https://www.barnonegames.com"" target=""_blank"" rel=""noopener"">www.barnonegames.com</a>"
Battery Buyers Inc. dba Battery Recyclers,WBENC/DBE,"<a href=""https://www.mybrs.com"" target=""_blank"" rel=""noopener"">www.mybrs.com</a>"
Bay Area Pipe,DBE,"<a href=""https://sfbape.com/"" target=""_blank"" rel=""noopener"">https://sfbape.com/</a>"
Bay Painting Inc,MBE,"<a href=""https://www.baypaintinginc.com"" target=""_blank"" rel=""noopener"">www.baypaintinginc.com</a>"
Be Well Integrative Health Partners,MBE,"<a href=""http://www.bewellihp.com/"" target=""_blank"" rel=""noopener"">http://www.bewellihp.com/</a>"
Bench-Tek Solutions LLC,MBE/WBENC/WOSB/CPUC,"<a href=""https://www.bench-tek.com"" target=""_blank"" rel=""noopener"">www.bench-tek.com</a>"
Ben’s Roofing,MBE/SBE/CPUC/SLEB,"<a href=""https://www.bensroofing.com"" target=""_blank"" rel=""noopener"">www.bensroofing.com</a>"
Biarca Inc,MBE/SBE/WBENC/WOSB/CPUC,"<a href=""https://biarca.com/"" target=""_blank"" rel=""noopener"">https://biarca.com/</a>"
Big Plan LLC (Fang Fang),MBE,"<a href=""http://www.bigplan.io/"" target=""_blank"" rel=""noopener"">http://www.bigplan.io/</a>"
Biz Mathematica LLC,WBENC,"<a href=""https://www.bizmathematica.com"" target=""_blank"" rel=""noopener"">www.bizmathematica.com</a>"
"Blue Lake Packaging, Inc",MBE/WBENC,"<a href=""https://www.bluelakepackaging.com"" target=""_blank"" rel=""noopener"">www.bluelakepackaging.com</a>"
Bondsforever Inc dba Shastha Foods,MBE,"<a href=""https://www.shasthafoods.com"" target=""_blank"" rel=""noopener"">www.shasthafoods.com</a>"
Boo Holdings LLC diba Impact Strategic Consulting,NGLCC,"<a href=""https://www.impact-strat.com"" target=""_blank"" rel=""noopener"">www.impact-strat.com</a>"
Broadway Bldg Grp,WBENC,"<a href=""https://www.westbroadwayco.com/"" target=""_blank"" rel=""noopener"">https://www.westbroadwayco.com/</a>"
Buck Davis & Company,NGLCC,"<a href=""https://www.buckdavis.com"" target=""_blank"" rel=""noopener"">www.buckdavis.com</a>"
Buxton Consulting,MBE/SBE/CPUC,"<a href=""https://www.buxtonconsulting.com"" target=""_blank"" rel=""noopener"">www.buxtonconsulting.com</a>"
BWA Studios,MBE/WBENC,"<a href=""https://www.bwastudios.com/"" target=""_blank"" rel=""noopener"">https://www.bwastudios.com/</a>"
C&M General Cleaning Services,MBE/WBE,"<a href=""https://www.cmgeneralcleaning.com/"" target=""_blank"" rel=""noopener"">https://www.cmgeneralcleaning.com/</a>"
C20 Studios,MBE,"<a href=""https://c2ostudios.com/"" target=""_blank"" rel=""noopener"">https://c2ostudios.com/</a>"
C2C Logistics LLC,MBE/SBE,"<a href=""https://c2clogisticsllc.com/"" target=""_blank"" rel=""noopener"">https://c2clogisticsllc.com/</a>"
Candoo PBC dba Candoo Tech,WBENC,"<a href=""https://www.candootech.com"" target=""_blank"" rel=""noopener"">www.candootech.com</a>"
Cantechtools LLC dba Enerdronics,SBE,"<a href=""https://www.cantechtools.com"" target=""_blank"" rel=""noopener"">www.cantechtools.com</a>"
CEFERTS LLC,MBE/SBE,"<a href=""https://www.ceferts.com"" target=""_blank"" rel=""noopener"">www.ceferts.com</a>"
Centerline Precision,MBE/SBE,"<a href=""https://www.centerlinep.com"" target=""_blank"" rel=""noopener"">www.centerlinep.com</a>"
Cetera Marketing,SAM,"<a href=""https://www.ceteramarketing.com"" target=""_blank"" rel=""noopener"">www.ceteramarketing.com</a>"
